用户ID,活动名,活动类型,参与日期,是否购买,消费金额(乐元)
48360040,520告白季,折扣,2026-08-04,0,0
48360063,元旦集卡,打卡,2026-05-18,0,0
48360010,元旦集卡,打卡,2026-08-04,0,0
48360058,端午打卡,打卡,2026-08-08,0,0
48360037,暑期福利日,折扣,2026-04-28,1,159
48360060,元旦集卡,打卡,2026-03-01,0,0
48360062,520告白季,折扣,2026-07-15,0,0
48360010,520告白季,折扣,2026-03-13,0,0
48360075,520告白季,折扣,2026-03-03,0,0
48360025,元旦集卡,打卡,2026-04-20,0,0
48360051,520告白季,折扣,2026-04-27,0,0
48360063,端午打卡,打卡,2026-05-25,0,0
48360051,元旦集卡,打卡,2026-08-22,0,0
48360051,618年中庆,折扣,2026-05-05,0,0
48360013,520告白季,折扣,2026-05-16,0,0
48360017,春节福袋,节日,2026-02-24,1,59
48360003,双11狂欢,折扣,2026-07-20,0,0
48360019,端午打卡,打卡,2026-02-25,1,148
48360063,618年中庆,折扣,2026-04-10,0,0
48360062,端午打卡,打卡,2026-06-26,0,0
48360069,春节福袋,节日,2026-01-14,0,0
48360015,暑期福利日,折扣,2026-08-11,0,0
48360056,618年中庆,折扣,2026-01-02,1,136
48360038,双11狂欢,折扣,2026-08-14,1,143
48360062,520告白季,折扣,2026-08-22,0,0
48360069,618年中庆,折扣,2026-08-18,0,0
48360064,春节福袋,节日,2026-07-09,0,0
48360048,元旦集卡,打卡,2026-05-11,1,127
48360016,元旦集卡,打卡,2026-06-26,0,0
48360003,元旦集卡,打卡,2026-07-04,0,0
48360045,暑期福利日,折扣,2026-06-02,0,0
48360031,圣诞竞拍夜,竞拍,2026-05-19,1,139
48360039,520告白季,折扣,2026-06-06,1,92
48360058,暑期福利日,折扣,2026-07-09,1,111
48360002,元旦集卡,打卡,2026-07-19,0,0
48360073,520告白季,折扣,2026-08-04,0,0
48360026,元旦集卡,打卡,2026-08-17,0,0
48360043,双11狂欢,折扣,2026-05-12,0,0
48360025,618年中庆,折扣,2026-02-27,0,0
48360027,端午打卡,打卡,2026-05-02,1,125
48360028,520告白季,折扣,2026-02-19,1,59
48360067,618年中庆,折扣,2026-07-07,1,60
48360038,端午打卡,打卡,2026-07-22,0,0
48360025,暑期福利日,折扣,2026-07-09,0,0
48360058,双11狂欢,折扣,2026-01-21,0,0
48360023,618年中庆,折扣,2026-04-22,0,0
48360059,端午打卡,打卡,2026-07-19,0,0
48360007,圣诞竞拍夜,竞拍,2026-06-15,1,70
48360038,暑期福利日,折扣,2026-07-11,0,0
48360008,圣诞竞拍夜,竞拍,2026-07-09,0,0
48360020,端午打卡,打卡,2026-04-13,1,69
48360003,圣诞竞拍夜,竞拍,2026-05-15,0,0
48360055,暑期福利日,折扣,2026-01-07,1,68
48360033,端午打卡,打卡,2026-03-21,0,0
48360062,春节福袋,节日,2026-01-28,0,0
48360040,端午打卡,打卡,2026-02-14,0,0
48360011,暑期福利日,折扣,2026-03-08,1,145
48360015,端午打卡,打卡,2026-08-03,1,66
48360040,元旦集卡,打卡,2026-07-26,0,0
48360030,暑期福利日,折扣,2026-04-05,1,78
48360035,618年中庆,折扣,2026-07-09,0,0
48360007,618年中庆,折扣,2026-06-23,0,0
48360040,暑期福利日,折扣,2026-08-22,1,86
48360018,元旦集卡,打卡,2026-08-23,0,0
48360039,春节福袋,节日,2026-01-27,0,0
48360006,圣诞竞拍夜,竞拍,2026-05-18,0,0
48360046,520告白季,折扣,2026-04-28,0,0
48360001,暑期福利日,折扣,2026-05-10,1,157
48360030,端午打卡,打卡,2026-04-28,0,0
48360056,元旦集卡,打卡,2026-07-26,1,163
48360062,618年中庆,折扣,2026-07-27,1,105
48360012,双11狂欢,折扣,2026-05-17,1,105
48360070,元旦集卡,打卡,2026-08-23,1,57
48360023,618年中庆,折扣,2026-03-01,0,0
48360039,元旦集卡,打卡,2026-02-04,1,117
48360016,暑期福利日,折扣,2026-06-15,0,0
48360017,端午打卡,打卡,2026-03-22,0,0
48360041,端午打卡,打卡,2026-04-03,0,0
48360023,暑期福利日,折扣,2026-07-27,0,0
48360028,春节福袋,节日,2026-01-18,0,0
48360029,520告白季,折扣,2026-08-07,1,161
48360006,暑期福利日,折扣,2026-07-20,1,62
48360047,双11狂欢,折扣,2026-02-01,0,0
48360055,618年中庆,折扣,2026-08-04,1,76
48360034,端午打卡,打卡,2026-08-13,1,161
48360076,圣诞竞拍夜,竞拍,2026-05-24,0,0
48360053,双11狂欢,折扣,2026-07-26,1,88
48360033,圣诞竞拍夜,竞拍,2026-08-08,0,0
48360058,520告白季,折扣,2026-01-16,1,92
48360050,圣诞竞拍夜,竞拍,2026-07-23,0,0
48360076,端午打卡,打卡,2026-02-04,0,0
48360006,元旦集卡,打卡,2026-04-16,0,0
48360077,春节福袋,节日,2026-01-09,0,0
48360048,端午打卡,打卡,2026-07-22,0,0
48360071,春节福袋,节日,2026-03-09,1,114
48360043,618年中庆,折扣,2026-03-03,1,119
48360018,端午打卡,打卡,2026-02-11,1,67
48360035,元旦集卡,打卡,2026-07-10,0,0
48360033,端午打卡,打卡,2026-06-14,0,0
48360040,618年中庆,折扣,2026-03-18,0,0
48360056,春节福袋,节日,2026-04-05,1,74
48360060,端午打卡,打卡,2026-03-23,0,0
48360014,618年中庆,折扣,2026-01-15,0,0
48360071,618年中庆,折扣,2026-08-16,1,144
48360018,520告白季,折扣,2026-06-03,1,87
48360021,端午打卡,打卡,2026-04-19,0,0
48360000,双11狂欢,折扣,2026-07-03,1,115
48360012,元旦集卡,打卡,2026-01-10,0,0
48360015,暑期福利日,折扣,2026-06-19,0,0
48360013,元旦集卡,打卡,2026-03-01,1,158
48360061,618年中庆,折扣,2026-05-20,0,0
48360042,春节福袋,节日,2026-08-11,0,0
48360072,双11狂欢,折扣,2026-04-28,1,134
48360041,春节福袋,节日,2026-02-18,0,0
48360048,520告白季,折扣,2026-07-09,1,175
48360051,520告白季,折扣,2026-01-28,1,101
48360051,端午打卡,打卡,2026-03-04,1,154
48360039,双11狂欢,折扣,2026-06-22,1,98
48360025,618年中庆,折扣,2026-08-13,0,0
48360072,暑期福利日,折扣,2026-02-25,0,0
48360047,双11狂欢,折扣,2026-07-21,0,0
48360005,元旦集卡,打卡,2026-08-22,1,139
48360019,618年中庆,折扣,2026-02-10,0,0
